time,RA,DEC,AZ,D(east),I(down), H,X (north),Y (east),Z (down),F(total)
89.93,98.5928,-23.7675,-142.4661,7.92717091514,59.8635412955,22587.8263789,22371.9810098,3115.18317651,38908.9610222,44990.1894678
89.95,98.6638,-23.7492,-141.1181,7.92717740934,59.8636045581,22587.8026239,22371.9571286,3115.1824361,38909.0190458,44990.2277221
89.97,98.7375,-23.7309,-139.8026,7.92717740934,59.8636045581,22587.8026239,22371.9571286,3115.1824361,38909.0190458,44990.2277221
89.99,98.812,-23.7128,-138.5052,7.92705859056,59.863671842,22586.9273853,22371.0967136,3115.01533543,38907.6166171,44988.5754334
90.01,98.8882,-23.695,-137.2225,7.92705859056,59.863671842,22586.9273853,22371.0967136,3115.01533543,38907.6166171,44988.5754334
90.03,98.967,-23.6772,-135.9014,7.92693331606,59.8636758609,22586.0761568,22370.2604296,3114.84902905,38906.1565995,44986.8853946
90.05,99.0464,-23.6594,-134.5699,7.92693971547,59.8637382063,22586.0527477,22370.2368963,3114.84829924,38906.2137776,44986.9230914
90.07,99.1284,-23.6423,-133.2576,7.92693971547,59.8637382063,22586.0527477,22370.2368963,3114.84829924,38906.2137776,44986.9230914
90.09,99.2125,-23.625,-131.9686,7.92682386539,59.8638042815,22585.1786623,22369.3774608,3114.6825238,38904.8114296,44985.2714517
90.11,99.2969,-23.6077,-130.7002,7.92682386539,59.8638042815,22585.1786623,22369.3774608,3114.6825238,38904.8114296,44985.2714517
90.13,99.3851,-23.5902,-129.42,7.92669541337,59.8638096677,22584.3275632,22368.5414764,3114.51500194,38903.3537648,44983.5835126
90.15,99.4733,-23.5726,-128.1056,7.92670190621,59.8638729296,22584.3038114,22368.5175987,3114.51426126,38903.411779,44983.6217605
90.17,99.5643,-23.5558,-126.7781,7.92670190621,59.8638729296,22584.3038114,22368.5175987,3114.51426126,38903.411779,44983.6217605
90.19,99.6576,-23.5384,-125.4946,7.9265835529,59.8639429514,22583.4287792,22367.6573604,3114.34738509,38902.0139561,44981.973559
90.21,99.7518,-23.5213,-124.2314,7.9265835529,59.8639429514,22583.4287792,22367.6573604,3114.34738509,38902.0139561,44981.973559
90.23,99.8493,-23.5034,-122.9897,7.9264580702,59.8639471293,22582.5788314,22366.8223536,3114.18118853,38900.5563762,44980.2862714
90.25,99.9474,-23.4861,-121.7497,7.92646456237,59.8640103908,22582.5550813,22366.7984776,3114.18044773,38900.6143856,44980.3245162
90.27,100.0478,-23.4682,-120.4593,7.92646456237,59.8640103908,22582.5550813,22366.7984776,3114.18044773,38900.6143856,44980.3245162
90.29,100.1505,-23.4505,-119.1683,7.9263487853,59.8640755373,22581.6824733,22365.9404991,3114.01491865,38899.2130995,44978.6745368
90.31,100.2543,-23.4325,-117.8902,7.9263487853,59.8640755373,22581.6824733,22365.9404991,3114.01491865,38899.2130995,44978.6745368
90.33,100.3608,-23.4144,-116.6413,7.9262237876,59.8640795382,22580.8330985,22365.1060324,3113.84899765,38897.7562219,44976.9881442
90.35,100.4691,-23.3955,-115.4158,7.92623065541,59.8641464667,22580.8079734,22365.0807741,3113.84821376,38897.8175892,44977.0286027
90.37,100.579,-23.3767,-114.1904,7.92623065541,59.8641464667,22580.8079734,22365.0807741,3113.84821376,38897.8175892,44977.0286027
90.39,100.6912,-23.3568,-112.9296,7.92611182665,59.864210058,22579.9365895,22364.2241727,3113.68166932,38896.4159651,44975.3789457
90.41,100.8051,-23.3372,-111.662,7.92611182665,59.864210058,22579.9365895,22364.2241727,3113.68166932,38896.4159651,44975.3789457
90.43,100.9207,-23.3166,-110.4167,7.92598978209,59.8642128513,22579.0882597,22363.3905794,3113.5170523,38894.9589913,44973.6929946
90.45,101.0386,-23.2954,-109.1788,7.92599617884,59.8642751954,22579.0648572,22363.3670528,3113.51632197,38895.0161506,44973.7306789
90.47,101.1574,-23.2738,-107.9727,7.92599617884,59.8642751954,22579.0648572,22363.3670528,3113.51632197,38895.0161506,44973.7306789
90.49,101.2789,-23.2515,-106.7587,7.92587783385,59.864342447,22578.1928212,22362.5097781,3113.34988351,38893.6191112,44972.0846597
90.51,101.4018,-23.2285,-105.5255,7.92587783385,59.864342447,22578.1928212,22362.5097781,3113.34988351,38893.6191112,44972.0846597
90.53,101.5264,-23.205,-104.2945,7.92574975092,59.8643478092,22577.3441924,22361.6762155,3113.18287566,38892.1656303,44970.4015792
