# Time,nT,Gauss
9.112999999999999545e+01, -4.222206826822371659e+04, -4.222206826822372250e-01
9.115000000000000568e+01, -4.266286865333544847e+04, -4.266286865333545064e-01
9.117000000000000171e+01, -4.310529270468123286e+04, -4.310529270468123619e-01
9.118999999999999773e+01, -4.355043382052770176e+04, -4.355043382052770640e-01
9.120999999999999375e+01, -4.398215604100396740e+04, -4.398215604100397247e-01
9.123000000000000398e+01, -4.440566397162253998e+04, -4.440566397162254431e-01
9.125000000000000000e+01, -4.482391013881776598e+04, -4.482391013881776853e-01
9.126999999999999602e+01, -4.523398205940397020e+04, -4.523398205940397654e-01
9.129000000000000625e+01, -4.563841686546761775e+04, -4.563841686546762366e-01
9.131000000000000227e+01, -4.605429214172500360e+04, -4.605429214172500618e-01
9.132999999999999829e+01, -4.646480603249531123e+04, -4.646480603249531494e-01
9.134999999999999432e+01, -4.686520809328240284e+04, -4.686520809328240667e-01
9.137000000000000455e+01, -4.726673642660428595e+04, -4.726673642660428887e-01
9.139000000000000057e+01, -4.765623465078302252e+04, -4.765623465078302479e-01
9.140999999999999659e+01, -4.803082331006873574e+04, -4.803082331006873762e-01
9.143000000000000682e+01, -4.840304369744810538e+04, -4.840304369744811153e-01
9.145000000000000284e+01, -4.878794351223147532e+04, -4.878794351223147974e-01
9.146999999999999886e+01, -4.916487763201723283e+04, -4.916487763201723427e-01
9.148999999999999488e+01, -4.953524403498054744e+04, -4.953524403498055229e-01
9.151000000000000512e+01, -4.989790834331992664e+04, -4.989790834331992997e-01
9.153000000000000114e+01, -5.024995696343925374e+04, -5.024995696343925733e-01
9.154999999999999716e+01, -5.059001397267622815e+04, -5.059001397267622879e-01
9.156999999999999318e+01, -5.093469208673336107e+04, -5.093469208673336857e-01
9.159000000000000341e+01, -5.127210850962135009e+04, -5.127210850962135025e-01
9.160999999999999943e+01, -5.161048619694009540e+04, -5.161048619694009743e-01
9.162999999999999545e+01, -5.193593350911256857e+04, -5.193593350911257511e-01
9.165000000000000568e+01, -5.226219244755134423e+04, -5.226219244755134774e-01
