time,RA,DEC,AZ
100.81,205.7134,24.2498,-128.45
100.83,205.9443,24.3167,-128.204
100.85,206.1742,24.3828,-127.9455
100.87,206.4039,24.4487,-127.6814
100.89,206.6333,24.5141,-127.4163
100.91,206.8619,24.5789,-127.1578
100.93,207.0902,24.6433,-126.9018
100.95,207.3178,24.7074,-126.6434
100.97,207.5449,24.7709,-126.3753
100.99,207.7716,24.8341,-126.1315
101.01,207.9975,24.8967,-125.8929
101.03,208.223,24.9592,-125.6498
101.05,208.4483,25.0211,-125.4014
101.07,208.6727,25.0824,-125.1447
101.09,208.8965,25.1436,-124.8742
101.11,209.1201,25.2041,-124.6195
101.13,209.343,25.264,-124.3662
101.15,209.5656,25.3236,-124.1172
101.17,209.7875,25.3826,-123.8747
101.19,210.0089,25.4415,-123.6285
101.21,210.2296,25.5,-123.3728
101.23,210.45,25.5578,-123.1322
101.25,210.6698,25.6154,-122.8939
101.27,210.8891,25.6723,-122.6491
101.29,211.1077,25.729,-122.3968
101.31,211.3257,25.785,-122.151
101.33,211.5432,25.841,-121.9094
101.35,211.7606,25.8961,-121.6603
101.37,211.9773,25.9512,-121.4145
101.39,212.1934,26.0054,-121.1706
101.41,212.4094,26.0597,-120.9345
101.43,212.6245,26.1129,-120.7145
101.45,212.8389,26.1658,-120.4776
101.47,213.0531,26.2184,-120.2396
101.49,213.2666,26.2705,-119.9962
101.51,213.4798,26.3219,-119.7487
101.53,213.6922,26.3732,-119.5089
101.55,213.9039,26.4237,-119.266
101.57,214.1154,26.4739,-119.0271
101.59,214.3262,26.5235,-118.8044
101.61,214.5369,26.5727,-118.5626
101.63,214.7467,26.6214,-118.3299
101.65,214.9558,26.6696,-118.0902
101.67,215.1646,26.7173,-117.8633
101.69,215.3729,26.7647,-117.6472
101.71,215.5805,26.8114,-117.411
101.73,215.7878,26.8577,-117.1794
101.75,215.9941,26.9037,-116.9496
101.77,216.1997,26.949,-116.7186
101.79,216.4055,26.9939,-116.4828
101.81,216.6103,27.0383,-116.2529
101.83,216.815,27.0824,-116.031
101.85,217.0193,27.1258,-115.8097
101.87,217.2228,27.1688,-115.5862
101.89,217.4259,27.2116,-115.3614
101.91,217.6287,27.2537,-115.1313
101.93,217.831,27.296,-114.9144
101.95,218.0325,27.3374,-114.6898
101.97,218.2337,27.3785,-114.4667
101.99,218.4345,27.4191,-114.2377
102.01,218.6348,27.459,-114.0113
102.03,218.834,27.4986,-113.7837
102.05,219.0335,27.5376,-113.5565
102.07,219.2317,27.5762,-113.3366
102.09,219.43,27.6141,-113.1239
102.11,219.6273,27.6518,-112.9094
102.13,219.8242,27.6886,-112.6886
102.15,220.0204,27.7253,-112.4741
102.17,220.2164,27.7611,-112.2537
102.19,220.4114,27.7966,-112.0361
